learning_rate,batch_size,hidden_size,num_stacked_layers,window_size,train_mse,val_mse,train_mae,val_mae
0.001,16,32,2,10,0.01622325854556521,0.015156844702477638,0.1081896116386871,0.14081697624463302
0.001,16,32,2,14,0.01991003265842058,0.017439139290497854,0.1272423577417309,0.14791787129182082
0.001,16,32,2,20,0.012534195297159888,0.008799245616850944,0.09365530763851836,0.12155511975288391
0.001,16,32,2,50,0.021465960381802443,0.01490242352995735,0.13430429150055095,0.14391950575204995
0.001,16,32,3,5,0.03182393360317519,0.01586480839894368,0.1785626220703125,0.15386743385058183
0.001,16,32,3,7,0.026909792339619324,0.01803373430783932,0.1621005985961885,0.1419413496668522
0.001,16,32,3,10,0.020401559594296376,0.01479234267026186,0.1384714670783403,0.15483173498740563
0.001,16,32,3,14,0.013011075627825145,0.0034769016962784985,0.08805254121155788,0.06867765864500633
0.001,16,32,3,20,0.014879805615488836,0.00492324739193114,0.10559184231022571,0.08689602407125327
0.001,16,32,3,50,0.015620955280255436,0.010360369816995584,0.10616546387716037,0.13073868247178885
0.001,16,32,4,5,0.032232508724555374,0.01634320616722107,0.1811627094447613,0.15965912089898035
0.001,16,32,4,7,0.02867455793810742,0.01919865973580342,0.1695239101441539,0.17840852989600256
0.001,16,32,4,10,0.015347713795823179,0.005170418773419582,0.09935822174409215,0.08347607805178715
0.001,16,32,4,14,0.017365833515214035,0.001358430828146923,0.1189398857144018,0.04237742034288553
0.001,16,32,4,20,0.02388603963946151,0.006559670947563763,0.15322095005119102,0.07181322144774291
0.001,16,32,4,50,0.026072388793137377,0.01649672702814524,0.15017953242470578,0.1505204914854123
0.001,16,64,1,5,0.026429200566344662,0.014191372928997645,0.1630354605615139,0.1317447807926398
0.001,16,64,1,7,0.020848374338630512,0.027639578024928387,0.13511614775171085,0.18682375664894396
0.001,16,64,1,10,0.01828956875322881,0.024205537512898445,0.12059072800436799,0.17220882498300993
0.001,16,64,1,14,0.015421904983668355,0.01164609408722474,0.10693210972628246,0.11996486496466857
0.001,16,64,1,20,0.02419705436307382,0.02896141053105776,0.15340962688973608,0.19805366603227761
0.001,16,64,1,50,0.02279238042807797,0.016062710290917985,0.14758730897816216,0.14798738406254694
0.001,16,64,2,5,0.025558306453749537,0.01998477790934535,0.16048638328909873,0.1520217083967649
0.001,16,64,2,7,0.019111566385729428,0.013207366761679832,0.11645204414214406,0.13699385122610971
0.001,16,64,2,10,0.013047302671594128,0.010785710317297624,0.09535724327576403,0.1066763441150005
0.001,16,64,2,14,0.010135072162180828,0.0080293626524508,0.07761928640926878,0.09543156108030906
0.001,16,64,2,20,0.01494855853540704,0.008094660848235855,0.09990034712121841,0.10679985410892047
0.001,16,64,2,50,0.01726653684135072,0.005826095298219185,0.10549855114119809,0.09540616491666207
0.001,16,64,3,5,0.03458941673859954,0.02515129601726165,0.19580477029085158,0.2031628947991591
0.001,16,64,3,7,0.024525553387190615,0.020258563928879224,0.1458830359030743,0.1738550582757363
0.001,16,64,3,10,0.017676076854161005,0.011213982227043463,0.11699749324090626,0.11714791105343746
0.001,16,64,3,14,0.012683938000312386,0.0053836843536163755,0.09083063993602991,0.09303160584889926
